,Company,fuel-type,num-of-doors,body-style,length,num-of-cylinders,peak-rpm,city-mpg,highway-mpg,price,Gear-type
0,alfa-romero,1,2,1,168.8,4,5000,9,11,1012125,1
1,alfa-romero,1,2,1,168.8,4,5000,9,11,1237500,2
2,alfa-romero,1,2,2,171.2,6,5000,8,11,1237500,1
3,audi,1,4,3,176.6,4,5500,10,12,1046250,2
4,audi,1,4,3,176.6,5,5500,7,9,1308750,1
5,audi,1,2,3,177.3,5,5500,8,10,1143750,2
6,audi,1,4,3,192.7,5,5500,8,10,1328250,1
7,audi,1,4,4,192.7,5,5500,8,10,1419000,2
8,audi,1,4,3,192.7,5,5500,7,8,1790625,1
9,audi,1,2,2,178.2,5,5500,6,9,971175,2
10,bmw,1,2,3,176.8,4,5800,9,12,1232250,1
11,bmw,1,4,3,176.8,4,5800,9,12,1269375,2
12,bmw,1,2,3,176.8,6,4250,9,12,1572750,1
13,bmw,1,4,3,176.8,6,4250,9,12,1582875,2
14,bmw,1,4,3,189.0,6,4250,8,10,1842375,1
15,bmw,1,4,3,189.0,6,5400,6,9,2307000,2
16,bmw,1,2,3,193.8,6,5400,6,9,3098625,1
17,bmw,1,4,3,197.0,6,5400,6,8,2766000,2
18,chevrolet,1,2,2,141.1,3,5100,20,22,386325,1
19,chevrolet,1,2,2,155.9,4,5400,16,18,472125,2
20,chevrolet,1,4,3,158.8,4,5400,16,18,493125,1
21,dodge,1,2,2,157.3,4,5500,15,17,417900,2
22,dodge,1,2,2,157.3,4,5500,13,16,478275,1
23,dodge,1,2,2,157.3,4,5500,10,12,596775,2
24,dodge,1,4,2,157.3,4,5500,13,16,467175,1
25,dodge,1,4,3,157.3,4,5500,13,16,501900,2
26,dodge,1,4,3,157.3,4,5500,13,16,570675,1
27,dodge,1,4,3,157.3,4,5500,10,12,641850,2
28,dodge,1,4,4,174.6,4,5000,10,12,669075,1
29,dodge,1,2,2,173.2,4,5000,8,10,972300,2
30,honda,1,2,2,144.6,4,4800,21,23,485925,1
31,honda,1,2,2,144.6,4,6000,13,16,514125,2
32,honda,1,2,2,150.0,4,5500,16,18,404925,1
33,honda,1,2,2,150.0,4,6000,12,14,489675,2
34,honda,1,2,2,150.0,4,6000,12,14,534675,1
35,honda,1,4,3,163.4,4,6000,12,14,547125,2
36,honda,1,4,4,157.1,4,6000,12,14,547125,1
37,honda,1,2,2,167.5,4,5800,11,14,592125,2
38,honda,1,2,2,167.5,4,5800,11,14,682125,1
39,honda,1,4,3,175.4,4,5800,11,14,663375,2
40,honda,1,4,3,175.4,4,5800,11,14,772125,1
41,honda,1,4,3,175.4,4,5800,10,12,970875,2
42,honda,1,2,3,169.1,4,5500,10,13,775875,1
43,isuzu,1,4,3,170.7,4,4800,10,12,508875,2
44,isuzu,1,2,3,155.9,4,5400,16,18,971175,1
45,isuzu,1,4,3,155.9,4,5400,16,18,971175,2
46,isuzu,1,2,2,172.6,4,5000,10,12,828600,1
47,jaguar,1,4,3,199.6,6,4750,6,8,2418750,2
48,jaguar,1,4,3,199.6,6,4750,6,8,2666250,1
49,jaguar,1,2,3,191.7,12,5000,5,7,2700000,2
50,mazda,1,2,2,159.1,4,5000,12,13,389625,1
51,mazda,1,2,2,159.1,4,5000,13,16,457125,2
52,mazda,1,2,2,159.1,4,5000,13,16,509625,1
53,mazda,1,4,3,166.8,4,5000,13,16,502125,2
54,mazda,1,4,3,166.8,4,5000,13,16,554625,1
55,mazda,1,2,2,169.0,2,6000,7,9,820875,2
56,mazda,1,2,2,169.0,2,6000,7,9,888375,1
57,mazda,1,2,2,169.0,2,6000,7,9,1023375,2
58,mazda,1,2,2,169.0,2,6000,6,9,1173375,1
59,mazda,1,2,2,177.8,4,4800,11,13,663375,2
60,mazda,1,4,3,177.8,4,4800,11,13,637125,1
61,mazda,1,2,2,177.8,4,4800,11,13,794625,2
62,mazda,1,4,3,177.8,4,4800,11,13,768375,1
63,mazda,2,4,3,177.8,4,4650,15,18,809625,2
64,mazda,1,4,2,177.8,4,4800,11,13,843375,1
65,mazda,1,4,3,175.0,4,5000,8,11,1371000,2
66,mazda,2,4,3,175.0,4,4200,13,16,1375800,1
67,mercedes-benz,2,4,3,190.9,5,4350,9,10,1916400,2
68,mercedes-benz,2,4,4,190.9,5,4350,9,10,2118600,1
69,mercedes-benz,2,2,5,187.5,5,4350,9,10,2113200,2
70,mercedes-benz,2,4,3,202.6,5,4350,9,10,2370000,1
71,mercedes-benz,1,4,3,202.6,8,4750,6,7,2563800,2
72,mercedes-benz,1,2,1,180.3,8,4750,6,7,2629200,1
73,mercedes-benz,1,4,3,208.1,8,4500,6,6,3072000,2
74,mercedes-benz,1,2,5,199.2,8,4500,6,6,3405000,1
75,mercury,1,2,2,178.4,4,5000,8,10,1237725,2
76,mitsubishi,1,2,2,157.3,4,5500,15,17,404175,1
77,mitsubishi,1,2,2,157.3,4,5500,13,16,464175,2
78,mitsubishi,1,2,2,157.3,4,5500,13,16,500175,1
79,mitsubishi,1,2,2,157.3,4,5500,10,12,576675,2
80,mitsubishi,1,2,2,173.0,4,5500,9,12,746925,1
81,mitsubishi,1,2,2,173.0,4,5000,10,13,637425,2
82,mitsubishi,1,2,2,173.2,4,5000,8,10,947175,1
83,mitsubishi,1,2,2,173.2,4,5000,8,10,1115175,2
84,mitsubishi,1,2,2,173.2,4,5000,8,10,1086675,1
85,mitsubishi,1,4,3,172.4,4,5000,10,13,524175,2
86,mitsubishi,1,4,3,172.4,4,5000,10,13,614175,1
87,mitsubishi,1,4,3,172.4,4,5500,9,12,695925,2
88,mitsubishi,1,4,3,172.4,4,5500,9,12,695925,1
89,nissan,1,2,3,165.3,4,5200,13,15,412425,2
90,nissan,2,2,3,165.3,4,4800,19,21,532425,1
91,nissan,1,2,3,165.3,4,5200,13,15,498675,2
92,nissan,1,4,3,165.3,4,5200,13,15,513675,1
93,nissan,1,4,4,170.2,4,5200,13,15,551175,2
94,nissan,1,2,3,165.3,4,5200,13,15,547425,1
95,nissan,1,2,2,165.6,4,5200,13,15,584925,2
96,nissan,1,4,3,165.3,4,5200,13,15,562425,1
97,nissan,1,4,4,170.2,4,5200,13,15,599925,2
98,nissan,1,2,5,162.4,4,5200,13,15,618675,1
99,nissan,1,4,2,173.4,4,5200,11,14,671175,2
100,nissan,1,4,3,173.4,4,5200,11,14,716175,1
101,nissan,1,4,3,181.7,6,5200,7,9,1012425,2
102,nissan,1,4,4,184.6,6,5200,7,9,1079925,1
103,nissan,1,4,3,184.6,6,5200,8,10,1012425,2
104,nissan,1,2,2,170.7,6,5200,8,10,1289925,1
105,nissan,1,2,2,170.7,6,5200,7,9,1477425,2
106,nissan,1,2,2,178.5,6,5200,8,10,1379925,1
107,peugot,1,4,3,186.7,4,5000,8,10,892500,2
108,peugot,2,4,3,186.7,4,4150,12,14,990000,1
109,peugot,1,4,4,198.9,4,5000,8,10,933000,2
110,peugot,2,4,4,198.9,4,4150,10,10,1039500,1
111,peugot,1,4,3,186.7,4,5000,8,10,1168500,2
112,peugot,2,4,3,186.7,4,4150,12,14,1267500,1
113,peugot,1,4,4,198.9,4,5000,8,10,1252125,2
114,peugot,2,4,4,198.9,4,4150,10,10,1280625,1
115,peugot,1,4,3,186.7,4,5000,8,10,1247250,2
116,peugot,2,4,3,186.7,4,4150,12,14,1346250,1
117,peugot,1,4,3,186.7,4,5600,7,10,1361250,2
118,plymouth,1,2,2,157.3,4,5500,15,17,417900,1
119,plymouth,1,2,2,157.3,4,5500,10,12,596775,2
120,plymouth,1,4,2,157.3,4,5500,13,16,467175,1
121,plymouth,1,4,3,167.3,4,5500,13,16,501900,2
122,plymouth,1,4,3,167.3,4,5500,13,16,570675,1
123,plymouth,1,4,4,174.6,4,5000,10,12,669075,2
124,plymouth,1,2,2,173.2,4,5000,8,10,957300,1
125,porsche,1,2,2,168.9,4,5500,8,11,1651350,2
126,porsche,1,2,5,168.9,6,5900,7,10,2439600,1
127,porsche,1,2,5,168.9,6,5900,7,10,2552100,2
128,porsche,1,2,1,168.9,6,5900,7,10,2777100,1
129,porsche,1,2,2,175.7,8,5750,7,12,971175,2
130,renault,1,4,4,181.5,4,5075,9,13,697125,1
131,renault,1,2,2,176.8,4,5075,9,13,742125,2
132,saab,1,2,2,186.6,4,5250,9,12,888750,1
133,saab,1,4,3,186.6,4,5250,9,12,912750,2
134,saab,1,2,2,186.6,4,5250,9,12,1128000,1
135,saab,1,4,3,186.6,4,5250,9,12,1163250,2
136,saab,1,2,2,186.6,4,5500,8,11,1361250,1
137,saab,1,4,3,186.6,4,5500,8,11,1396500,2
138,subaru,1,2,2,156.9,4,4900,13,15,383850,1
139,subaru,1,2,2,157.9,4,4400,11,13,528975,2
140,subaru,1,2,2,157.3,4,4400,11,13,570225,1
141,subaru,1,4,3,172.0,4,4800,13,15,534450,2
142,subaru,1,4,3,172.0,4,4400,12,14,583125,1
143,subaru,1,4,3,172.0,4,5200,11,13,747000,2
144,subaru,1,4,3,172.0,4,4800,10,10,692475,1
145,subaru,1,4,3,172.0,4,4800,10,12,844425,2
146,subaru,1,4,4,173.5,4,4800,12,13,559725,1
147,subaru,1,4,4,173.5,4,5200,10,13,764850,2
148,subaru,1,4,4,173.6,4,4800,9,12,600975,1
149,subaru,1,4,4,173.6,4,4800,9,9,877050,2
150,toyota,1,2,2,158.7,4,4800,15,16,401100,1
151,toyota,1,2,2,158.7,4,4800,13,16,475350,2
152,toyota,1,4,2,158.7,4,4800,13,16,486600,1
153,toyota,1,4,4,169.7,4,4800,13,15,518850,2
154,toyota,1,4,4,169.7,4,4800,11,13,592350,1
155,toyota,1,4,4,169.7,4,4800,11,13,658350,2
156,toyota,1,4,3,166.3,4,4800,12,15,520350,1
157,toyota,1,4,2,166.3,4,4800,12,15,539850,2
158,toyota,2,4,3,166.3,4,4500,14,15,592350,1
159,toyota,2,4,2,166.3,4,4500,16,20,584100,2
160,toyota,1,4,3,166.3,4,4800,16,20,580350,1
161,toyota,1,4,2,166.3,4,4800,12,14,626850,2
162,toyota,1,4,3,166.3,4,4800,12,14,694350,1
163,toyota,1,2,3,168.7,4,4800,12,14,604350,2
164,toyota,1,2,2,168.7,4,4800,12,14,617850,1
165,toyota,1,2,3,168.7,4,6600,11,12,697350,2
166,toyota,1,2,2,168.7,4,6600,11,12,715350,1
167,toyota,1,2,5,176.2,4,4800,10,12,633675,2
168,toyota,1,2,5,176.2,4,4800,10,12,722925,1
169,toyota,1,2,2,176.2,4,4800,10,12,749175,2
170,toyota,1,2,5,176.2,4,4800,10,12,839925,1
171,toyota,1,2,2,176.2,4,4800,10,12,866175,2
172,toyota,1,2,1,176.2,4,4800,10,12,1325175,1
173,toyota,1,4,3,175.6,4,4200,12,14,671100,2
174,toyota,2,4,3,175.6,4,4500,12,14,802350,1
175,toyota,1,4,2,175.6,4,4200,11,13,749100,2
176,toyota,1,4,3,175.6,4,4200,11,13,817350,1
177,toyota,1,4,2,175.6,4,4200,11,13,843600,2
178,toyota,1,2,2,183.5,6,5200,8,10,1241850,1
179,toyota,1,2,2,183.5,6,5200,8,10,1199850,2
180,toyota,1,4,3,187.8,6,5200,8,10,1176750,1
181,toyota,1,4,4,187.8,6,5200,8,10,1181250,2
182,volkswagen,2,2,3,171.7,4,4800,15,19,583125,1
183,volkswagen,1,2,3,171.7,4,5250,11,14,598125,2
184,volkswagen,2,4,3,171.7,4,4800,15,19,599625,1
185,volkswagen,1,4,3,171.7,4,5250,11,14,614625,2
186,volkswagen,1,4,3,171.7,4,5250,11,14,637125,1
187,volkswagen,2,4,3,171.7,4,4500,15,18,712125,2
188,volkswagen,1,4,3,171.7,4,5500,11,13,749625,1
189,volkswagen,1,2,1,159.3,4,5500,10,12,869625,2
190,volkswagen,1,2,2,165.7,4,5500,10,12,748500,1
191,volkswagen,1,4,3,180.2,5,5500,8,10,997125,2
192,volkswagen,2,4,3,180.2,4,4500,14,16,1038375,1
193,volkswagen,1,4,4,183.1,4,5500,10,13,921750,2
194,volvo,1,4,3,188.8,4,5400,9,12,970500,1
195,volvo,1,4,4,188.8,4,5400,9,12,1006125,2
196,volvo,1,4,3,188.8,4,5400,10,12,1198875,1
197,volvo,1,4,4,188.8,4,5400,10,12,1238625,2
198,volvo,1,4,3,188.8,4,5100,7,9,1381500,1
199,volvo,1,4,4,188.8,4,5100,7,9,1421250,2
200,volvo,1,4,3,188.8,4,5400,9,12,1263375,1
201,volvo,1,4,3,188.8,4,5300,8,10,1428375,2
202,volvo,1,4,3,188.8,6,5500,7,9,1611375,1
203,volvo,2,4,3,188.8,6,4800,11,11,1685250,2
204,volvo,1,4,3,188.8,4,5400,8,10,1696875,1
